City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,goundam,16.4145,-3.6708,31.01,9,95,3.44,ML,1698362060
212,queenstown,-31.8976,26.8753,18.58,39,67,0.98,ZA,1698362061
213,bonthe,7.5264,-12.505,26.21,87,74,1.97,SL,1698362061
214,yigo village,13.5361,144.8886,29.62,82,75,2.57,GU,1698362061
215,arteche,12.2645,125.4048,27.12,76,93,1.07,PH,1698362061
216,tommot,58.9564,126.2925,-19.03,97,58,1.25,RU,1698362061
217,phan rang-thap cham,11.5667,108.9833,24.15,90,18,1.9,VN,1698362062
218,vernal,40.4555,-109.5287,8.84,24,0,7.2,US,1698362062
219,salinopolis,-0.6136,-47.3561,27.59,70,35,5.3,BR,1698361829
220,karratha,-20.7377,116.8463,32.54,19,18,9.35,AU,1698362062
221,slave lake,55.2834,-114.769,-3.01,86,100,4.63,CA,1698361814
222,as sulayyil,20.4607,45.5779,23.14,59,100,3.99,SA,1698362063
223,tsiombe,-25.3,45.4833,18.45,72,88,1.92,MG,1698362063
224,muskegon,43.3,-86.1334,18.47,92,100,7.72,US,1698362063
225,jiangyou,31.7667,104.7167,15.49,81,100,0.54,CN,1698362063
226,barrouallie,13.2333,-61.2667,25.79,83,20,1.54,VC,1698362064
227,luderitz,-26.6481,15.1594,15.86,82,6,6.94,NA,1698362064
228,kumi,36.1136,128.336,14.75,73,3,3.12,KR,1698362064
229,howrah,22.5892,88.3103,25.0,83,20,2.06,IN,1698362065
230,greymouth,-42.4667,171.2,9.35,60,91,11.59,NZ,1698362065
231,hilo,19.7297,-155.09,27.85,78,100,3.13,US,1698362065
232,margate,51.3813,1.3862,10.94,93,100,4.28,GB,1698362065
233,cacheu,12.2706,-16.1658,26.6,83,68,2.79,GW,1698362065
234,kapuskasing,49.4169,-82.4331,1.05,93,100,6.17,CA,1698362066
235,baker city,44.7749,-117.8344,3.84,70,100,2.57,US,1698362053
236,northam,51.0333,-4.2167,12.03,97,88,4.05,GB,1698362066
237,luena,-11.7833,19.9167,19.55,66,83,1.98,AO,1698362067
238,colares,38.7992,-9.4469,18.27,82,100,5.81,PT,1698362067
239,nyandoma,61.669,40.1991,-5.26,93,50,1.45,RU,1698362067
240,vilhena,-12.7406,-60.1458,24.34,69,77,1.62,BR,1698361863
241,tual,-5.6667,132.75,26.37,76,100,5.78,ID,1698362068
242,coahuayana de hidalgo,18.7,-103.6583,26.83,83,94,2.6,MX,1698362068
243,hami,42.8,93.45,12.36,30,16,1.04,CN,1698362068
244,baotou,40.6522,109.8222,8.55,34,0,0.94,CN,1698362068
245,karaton,-6.3424,106.1045,23.86,90,95,0.69,ID,1698362069
246,nuku'alofa,-21.1333,-175.2,25.19,65,20,9.26,TO,1698362069
247,rajaori,33.3833,74.3,15.94,42,0,2.37,IN,1698362069
248,aasiaat,68.7098,-52.8699,-7.72,87,79,4.06,GL,1698362069
249,rongelap,11.1635,166.8941,27.76,71,74,5.02,MH,1698362069
250,olonkinbyen,70.9221,-8.7187,-0.26,74,73,1.48,SJ,1698362070
251,hermanus,-34.4187,19.2345,16.11,73,71,4.32,ZA,1698362070
252,xilin hot,43.9667,116.0333,4.13,35,12,2.98,CN,1698362070
253,yangambi,0.8102,24.4336,19.88,99,99,1.22,CD,1698362070
254,gadzhiyevo,69.2551,33.3362,-3.74,94,100,2.99,RU,1698362071
255,alaghsas,17.0187,8.0168,26.86,13,53,4.21,NE,1698362071
256,naantali,60.4674,22.0243,1.59,80,100,2.57,FI,1698362071
257,santa elena de uairen,4.6167,-61.1333,21.38,86,62,1.11,VE,1698362071
258,singaraja,-8.112,115.0882,27.14,68,57,1.14,ID,1698362072
259,quellon,-43.1167,-73.6167,10.63,72,100,4.53,CL,1698362072
260,namie,37.4833,141.0,15.75,65,25,0.97,JP,1698362072
261,caleta de carquin,-11.0925,-77.6267,20.02,79,61,4.55,PE,1698362072
262,ormond-by-the-sea,29.3491,-81.0665,25.05,81,0,3.09,US,1698362073
263,mariental,-24.6333,17.9667,25.0,19,48,6.41,NA,1698362073
264,maralal,1.0968,36.698,16.17,77,87,2.88,KE,1698362073
265,acapulco de juarez,16.8634,-99.8901,28.14,79,88,3.41,MX,1698362073
266,salalah,17.0151,54.0924,26.05,89,20,2.06,OM,1698362074
267,touros,-5.1989,-35.4608,27.35,66,77,5.69,BR,1698362028
268,dubna,56.7333,37.1667,0.69,52,100,4.4,RU,1698362075
269,geraldton,-28.7667,114.6,15.23,82,91,5.66,AU,1698362075
270,menongue,-14.6585,17.691,18.45,85,100,2.34,AO,1698362075
271,rabo de peixe,37.8,-25.5833,16.66,99,98,1.79,PT,1698362075
272,keflavik,64.0049,-22.5624,4.95,100,0,1.54,IS,1698362075
273,akashi,34.6333,134.9833,19.02,69,0,2.17,JP,1698362076
274,alofi,-19.0595,-169.9187,24.94,69,75,8.23,NU,1698362076
275,hadibu,12.65,54.0333,26.5,83,54,3.8,YE,1698362076
276,aras-asan,8.8908,126.3033,26.09,84,100,1.45,PH,1698362076
277,kachug,53.9606,105.8817,2.25,70,100,1.34,RU,1698362077
278,pudozh,61.8099,36.5345,-3.36,80,23,1.79,RU,1698362077
279,broken hill,-31.95,141.4333,14.14,40,0,6.17,AU,1698362048
280,wau,7.7029,27.9953,22.37,95,100,2.06,SS,1698362077
281,pemba,-12.974,40.5178,26.39,83,40,2.57,MZ,1698362078
282,thinadhoo,0.5333,72.9333,27.51,78,76,7.34,MV,1698362078
283,nar'yan-mar,67.6713,53.087,-11.61,100,74,1.79,RU,1698362078
284,bandarbeyla,9.4942,50.8122,26.53,82,78,5.18,SO,1698362078
285,at-bashi,41.1702,75.8106,3.7,83,78,0.21,KG,1698362078
286,chibougamau,49.9168,-74.3659,1.79,93,100,2.06,CA,1698362079
287,lienen,52.15,7.9833,9.18,97,70,2.03,DE,1698362079
288,sinop,41.7711,34.8709,17.33,47,100,2.16,TR,1698362079
289,neustrelitz,53.3667,13.0833,8.28,93,84,1.71,DE,1698362079
290,santa cruz,-17.8,-63.1667,25.7,73,75,3.6,BO,1698361979
291,maubin,16.7333,95.65,24.35,90,100,1.04,MM,1698362080
292,lagdo,9.05,13.7333,25.4,44,93,1.03,CM,1698362080
293,cullowhee,35.3137,-83.1765,18.82,77,0,3.6,US,1698362081
294,eastham,41.8301,-69.9739,17.75,74,0,1.54,US,1698362081
295,cabedelo,-6.9811,-34.8339,25.37,81,18,3.89,BR,1698362081
296,constitucion,-35.3333,-72.4167,12.34,82,4,4.89,CL,1698362081
297,guatrache,-37.6678,-63.5302,14.94,79,81,4.94,AR,1698362081
298,douala,4.0483,9.7043,23.88,91,98,0.29,CM,1698362082
299,isiro,2.7739,27.616,19.69,99,92,0.85,CD,1698362082
300,perry,37.2506,-83.1999,24.1,73,74,1.36,US,1698361856
301,champerico,14.3,-91.9167,25.3,81,100,5.02,GT,1698362082
